NOK_per_kWh,time_start,consumption,consumption_cost,consumption_with_battery,consumption_cost_with_battery
1.30043,2021-12-01T00:00:00+01:00,4.951856952,6.4395433360893595,4.48753464,5.8357246718952
1.12077,2021-12-01T01:00:00+01:00,3.961485576,4.43991418901352,4.48753464,5.0294941984728
1.02818,2021-12-01T02:00:00+01:00,4.060522728,4.17494825847504,4.48753464,4.6139933661552
0.9911900000000001,2021-12-01T03:00:00+01:00,4.159559808,4.12291408609152,4.48753464,4.447999459821601
0.9906800000000001,2021-12-01T04:00:00+01:00,4.25859696,4.218906836332801,4.48753464,4.4457108171552004
1.1354899999999999,2021-12-01T05:00:00+01:00,1.980742752,2.24911358746848,4.48753464,5.095550708373599
1.22143,2021-12-01T06:00:00+01:00,1.683631368,2.05643786181624,0.0,0.0
1.27682,2021-12-01T07:00:00+01:00,1.7826685199999999,2.2761468197064,0.0,0.0
1.30871,2021-12-01T08:00:00+01:00,2.37689136,3.1106614917456,0.0,0.0
1.29982,2021-12-01T09:00:00+01:00,4.951856952,6.43652270334864,0.0,0.0
1.28837,2021-12-01T10:00:00+01:00,4.159559808,5.35905206983296,0.698060952,0.89936078872824
1.23472,2021-12-01T11:00:00+01:00,2.674002744,3.30164466807168,4.48753464,5.5408487707008
1.2197,2021-12-01T12:00:00+01:00,1.7826685199999999,2.1743207938439997,4.48753464,5.473446000408
1.22092,2021-12-01T13:00:00+01:00,2.277854208,2.78107775963136,4.48753464,5.4789207926687995
1.2245,2021-12-01T14:00:00+01:00,2.277854208,2.789232477696,4.48753464,5.4949861666799995
1.22593,2021-12-01T15:00:00+01:00,2.47592844,3.0353149524492,4.48753464,5.5014033412152
1.24555,2021-12-01T16:00:00+01:00,1.4855570640000002,1.8503356010652001,2.991689784,3.7262992104612
1.24402,2021-12-01T17:00:00+01:00,2.7730398960000002,3.44971709142192,2.991689784,3.7217219250916798
1.23462,2021-12-01T18:00:00+01:00,4.951856952,6.11366163007824,1.994459832,2.46239999778384
1.22154,2021-12-01T19:00:00+01:00,2.37689136,2.9034678718944003,0.9972299520000001,1.2181562755660802
1.23584,2021-12-01T20:00:00+01:00,2.47592844,3.0598514032896005,0.9972299520000001,1.23241666387968
1.2439200000000001,2021-12-01T21:00:00+01:00,2.674002744,3.3262454933164802,3.988919664,4.96189694844288
1.22184,2021-12-01T22:00:00+01:00,2.47592844,3.0251884051296,3.988919664,4.87382160226176
1.18516,2021-12-01T23:00:00+01:00,2.9711142,3.5212457052720003,4.48753464,5.318446553942399
1.19498,2021-12-02T00:00:00+01:00,4.951856952,5.91737002050096,4.48753464,5.362514144107199
1.15544,2021-12-02T01:00:00+01:00,3.961485576,4.57725889393344,4.48753464,5.1850770244416
1.0879,2021-12-02T02:00:00+01:00,4.060522728,4.4174426757912,4.48753464,4.881988934856
1.102,2021-12-02T03:00:00+01:00,4.159559808,4.583834908416001,4.48753464,4.94526317328
1.1229,2021-12-02T04:00:00+01:00,4.25859696,4.781978526384,4.48753464,5.039052647256
1.15585,2021-12-02T05:00:00+01:00,1.980742752,2.2894415098992003,4.48753464,5.186916913644
1.35961,2021-12-02T06:00:00+01:00,1.683631368,2.28908204424648,0.0,0.0
1.5279600000000002,2021-12-02T07:00:00+01:00,1.7826685199999999,2.7238461918192,0.0,0.0
2.00045,2021-12-02T08:00:00+01:00,2.37689136,4.754852321112,0.0,0.0
2.00107,2021-12-02T09:00:00+01:00,4.951856952,9.90901239093864,0.0,0.0
1.9583400000000002,2021-12-02T10:00:00+01:00,4.159559808,8.14583235439872,0.698060952,1.36704068473968
2.22058,2021-12-02T11:00:00+01:00,2.674002744,5.93783701327152,4.48753464,9.9649296708912
2.16797,2021-12-02T12:00:00+01:00,1.7826685199999999,3.8647718713043995,4.48753464,9.7288404734808
2.25621,2021-12-02T13:00:00+01:00,2.277854208,5.13931744263168,4.48753464,10.124820530114398
2.51063,2021-12-02T14:00:00+01:00,2.277854208,5.71884911023104,4.48753464,11.2665390932232
2.9757,2021-12-02T15:00:00+01:00,2.47592844,7.3676202589079995,4.48753464,13.353556828248
3.19872,2021-12-02T16:00:00+01:00,1.4855570640000002,4.75188109175808,2.991689784,9.56957794587648
3.46374,2021-12-02T17:00:00+01:00,2.7730398960000002,9.605089209371041,2.991689784,10.36243557243216
2.98477,2021-12-02T18:00:00+01:00,4.951856952,14.780154074621041,1.994459832,5.95300387275864
2.18269,2021-12-02T19:00:00+01:00,2.37689136,5.1880170025584,0.9972299520000001,2.17664384393088
1.67354,2021-12-02T20:00:00+01:00,2.47592844,4.1435652814776,0.9972299520000001,1.6689042138700803
1.60765,2021-12-02T21:00:00+01:00,2.674002744,4.2988605113916005,3.988919664,6.4127866978296
1.42541,2021-12-02T22:00:00+01:00,2.47592844,3.5292131576604002,3.988919664,5.685845978262241
1.30854,2021-12-02T23:00:00+01:00,2.9711142,3.887821775268,4.48753464,5.8721185778256
1.4531100000000001,2021-12-03T00:00:00+01:00,4.951856952,7.1955928555207205,4.48753464,6.520881460730401
1.32297,2021-12-03T01:00:00+01:00,3.961485576,5.24092657248072,4.48753464,5.9368737026808
1.2524,2021-12-03T02:00:00+01:00,4.060522728,5.085398664547199,4.48753464,5.620188383136
1.18265,2021-12-03T03:00:00+01:00,4.159559808,4.9193034069312,4.48753464,5.307182841996
1.22113,2021-12-03T04:00:00+01:00,4.25859696,5.2003005057648,4.48753464,5.4798631749432
1.34488,2021-12-03T05:00:00+01:00,1.980742752,2.66386131230976,4.48753464,6.0351955866432
1.68612,2021-12-03T06:00:00+01:00,1.683631368,2.83880452221216,0.0,0.0
2.31623,2021-12-03T07:00:00+01:00,1.7826685199999999,4.1290703060795995,0.0,0.0
2.56128,2021-12-03T08:00:00+01:00,2.37689136,6.0878843025408,0.0,0.0
2.1684,2021-12-03T09:00:00+01:00,4.951856952,10.7376066147168,0.0,0.0
1.80206,2021-12-03T10:00:00+01:00,4.159559808,7.49577634760448,0.698060952,1.25794771916112
1.5974400000000002,2021-12-03T11:00:00+01:00,2.674002744,4.271558943375361,4.48753464,7.1685673353216
1.39859,2021-12-03T12:00:00+01:00,1.7826685199999999,2.4932223653867998,4.48753464,6.2762210721575995
1.4036300000000002,2021-12-03T13:00:00+01:00,2.277854208,3.1972645019750403,4.48753464,6.2988382467432
1.39313,2021-12-03T14:00:00+01:00,2.277854208,3.17334703279104,4.48753464,6.2517191330232
1.43274,2021-12-03T15:00:00+01:00,2.47592844,3.5473617131256,4.48753464,6.4294703801135995
1.5916800000000002,2021-12-03T16:00:00+01:00,1.4855570640000002,2.3645314676275206,2.991689784,4.7618127953971205
1.61833,2021-12-03T17:00:00+01:00,2.7730398960000002,4.487693654893681,2.991689784,4.84154132814072
1.42225,2021-12-03T18:00:00+01:00,4.951856952,7.042778549982,1.994459832,2.836620496062
1.34046,2021-12-03T19:00:00+01:00,2.37689136,3.1861277924256,0.9972299520000001,1.33674686145792
1.21444,2021-12-03T20:00:00+01:00,2.47592844,3.0068665346736,0.9972299520000001,1.21107594290688
1.23903,2021-12-03T21:00:00+01:00,2.674002744,3.31316961989832,3.988919664,4.942391131285921
1.24088,2021-12-03T22:00:00+01:00,2.47592844,3.0723300826272,3.988919664,4.94977063266432
